대화셋일련번호,고객의도,문장번호,고객질문(요청),개체명 ,지식베이스
A6349,대출문의,1,전원주택을 대출을 받아서 지으려고하는데 될까요?,"전원주택, 대출","대출,대부"
A6446,대출이력조회문의,1,제 보험도 대출이 될까요?,"보험, 대출","대출,대부"
A6447,신용등급조회문의,1,신용등급 조회 신청은 어디서 하죠? 대출 신청을 할려고 해서 궁금합니다.,"신용등급, 조회, 신청, 대출, 궁금","조회,질문"
A6448,신용정보조회서발급문의,1,"대출을 받으려는데, 은행에서 신용정보조회서를 발급 받아오라고 하네요.","대출, 은행, 신용정보조회서, 발급","은행,개설"
A6451,대출정보노출문의,1,"다른 사람이 제 대출정보 확인하고 그러던데, 그거 못하게 안되요?","대출정보, 확인, 다른, 사람","확인,사용자"
A6452,대출중도상환문의,1,대출금 중도상환도 가능한가요?,"대출금, 중도상환, 가능","중도상환,실현"
A6453,대출이자상환,1,제가 받은 대출의 이자를 좀 알 수 있는가요?,"대출, 이자","이자,금리"
A6455,신용등급관련문의,1,"대출로 상담했었는데, KCB라는 얘기를 하더라구요. 그게 뭔지 너무 궁금해서요..","대출, KCB, 너무, 궁금, 상담","KCB,문의"
A6463,소상공인대출,1,제가 조그만 옷가게를 하는데 대출을 받을수 있을까요?,"옷가게, 대출","대출,대부"
A6467,주택건축대출문의,1,제가 집을 지을 계획인데  대출을 받을수 있을까해서요,"집, 계획, 대출","계획,대부"
A6468,학자금대출,1,학자금대출을 받으려고 하는데 어떤부분이  지원이 되는건가요?,"학자금대출, 지원","지원,서비스"
A6469,대출금이자중복출금,1,"대출금을 저번달에 다 갚았는데 이번달에 이자가 또 빠져나갔어요,어떻게 된일이죠?","대출금, 이자","이자,수수료"
A6470,대출금중도상환,1,대출금을 중도상환하고 싶은데 가능하나요?,상환,"상환,반납"
A6471,대출문의,1,대출이 필요한데 제가 받을수있는지 알아볼수 있을까요?,대출,"대출,대부"
A6472,아파트담보대출,1,"제가 아파트를 담보로 대출을 받았는데요, 추가로 대출을 더 받을 수 있나요?","아파트, 담보, 대출","담보,대부"
A6473,보험대출,1,보험대출 상담도 가능할까요?,"보험대출, 상담","상담,의논"
A6476,전세자금대출,1,전세자금대출에 대해서 문의좀 드릴까해서요.,"전세자금대출, 문의","문의,질문"
A6478,비대면신용대출,1,신용대출을 받을때 직접가지않고 비대면으로 신청할수 있나요?,"신용대출, 비대면, 신청","비대면,청구"
A6479,대출금리인하,1,대출금리를 낮출수 있는 방법이 있을까요?,"대출금리, 방법","방법,방식"
A6481,햇살론대출,1,햇살론 대출이 궁금해서요.,궁금,"궁금,질문"
A6483,대출상담,1,저렴하게 대출받을수 있는 방법은 없을까요?,"대출, 방법","방법,방식"
A6491,카드대출,1,"카드대출을 받으면 받자마자 바로입금되나요?카드대출이 처음이라 몰라서요,","카드대출, 입금, 처음","입금,지급"
A6492,보험대출,1,보험회사에 대출관련 상담을 좀 받고싶어서 계속 전화하는데 왜이렇게 전화연결이 안되는거에요?,"보험회사, 대출, 상담, 전화, 전화연결","대출,통신수단"
A6493,대출문자알림,1,"보험회사에서 방금 문자가 왔는데,이게 무슨 얘기인가요?","보험회사, 문자","문자,문자메시지"
A6494,개인사업자대출,1,개인사업자대출 문의좀 드리려구요.,"개인사업자대출, 문의","문의,질문"
A6497,비상금대출,1,비상금대출이라는걸 어디서 잠깐봤는데 그게 뭐에요?,비상금 ,"비상금,돈"
A6498,카카오뱅크대출,1,OO은행에서 대출받는거는 누구나 다 대출할수 있어요?,"카카오뱅크, 대출","대출,대부"
A6500,대출금상환방법,1,대출금상환에 어떤방법들이 있는지 물어봐도 될까요?,"대출금상환, 방법","방법,방식"
A6501,인터넷대출,1,인터넷대출 신청좀 하고싶은데요.,인터넷 ,"인터넷,온라인"
A6507,원금상환방법변경,1,대출금원금을 매달매달 내고싶은데 가능하나요?,"대출금원금, 매달, 가능","매달,실현"
A6508,급여통장플러스론,1,"급여통장으로 마이너스통장처럼 대출이 된다고 하던데요,","급여통장, 마이너스통장, 대출","마이너스통장,대부"
A6509,대출상환연장,1,대출상환 연장신청 가능할까요?,신청,"신청,가입"
A6510,전세자금대출소득공제,1,대출받은거중에 연말정산때 소득공제 받을수 있는게 있다고 하던데 맞나요?,"대출, 소득공제, 연말정산","소득공제,연말정산"
A6512,신용대출조건,1,신용대출을 받을 수 있는 나이는 몇 살 이상인가요?,"신용대출, 나이, 살, 이상","나이,한도"
A6550,대출서비스 ,1,핀테크서비스가 뭐예요?,핀테크서비스,핀테크서비스
A6551,대출관련 ,1,시장에서 대출해주는 핀테크가 뭔가요?,"시장, 대출, 핀테크","대출,대부"
A6552,"전,월세 대출",1,아파트 월세도 대출이 될까요?,"아파트, 월세, 대출","월세,대부"
A6553,"전,월세 대출",1,아파트 전세 살고 있는데요 대출되나요?,"아파트, 전세, 대출","전세,대부"
A6554,담보대출,1,아파트론 대출방법 알려주시겠어요?,"아파트론, 대출, 방법","대출,방식"
A6555,아파트신용대출,1,아파트론 대출을 하려면 어떤 방법이 가장 좋은가요?,"아파트, 대출, 방법","대출,방식"
A6556,우리은행 대출,1,모바일로 간단하게 대출하는 방법은요?,"모바일, 대출, 방법","대출,방식"
A6557,비상금대출,1,OO은행 대출신청방법과 조건이 뭔가?,"케이뱅크, 대출, 신청, 방법, 조건","대출,요소"
A6644,모바일 대출받기,1,은행 대출을 받으려고 하는데 은행 방문을 해야만 하나요?,"은행, 대출, 방문","대출,내방"
A6646,보험계약대출,1,급하게 현금이 필요한데 대출을 쉽게 받는 방법이 있나요?,"현금, 필요, 대출, 방법","필요,방식"
A6648,"마이너스 통장,대출",1,단기 대출을 알아보려다 마이너스 통장에 대해 들었는데 일반 대출이랑 다른가요?,"단기, 대출, 마이너스통장, 일반, 대출","대출,대부"
A6650,ATM기 대출,1,보험계약대출을 받으려고 하는데 어떻게 해야하나요? ,보험계약 대출,"보험계약대출,대부"
A6651,보험약관대출,1,OO생명에서 보험대출을 할 수 있다는데 되나요?,"OO생명, 보험, 대출","보험,대부"
A6659,직장인대출,1,대출을 받고싶은데 은행에 방문해야 하나요? ,"대출, 은행, 방문","은행,내방"
A6660,마이너스통장과 대출,1,마이너스 통장과 대출은 다른가요?,"마니어스통장, 대출","대출,대부"
A6685,전세금 대출,1,전세금 대출을 받고 싶은데요?,"전세금, 대출","대출,대부"
A6686,카카오뱅크 전세대출,1,OO은행에서 전세금 대출이 가능하다는데 맞나요? ,"카카오뱅크, 전세금, 대출, 가능","전세금,실현"
A6687,카카오뱅크 전월세대출,1,청년 전월세 대출이 있다는데 맞나요?,"청년, 전월세대출","전월세대출,성년"
A6708,전세자금대출문의,1,전세자금 대출과 관련해 문의드릴 게 있습니다. 여기 물어보면 되나요?,"전세금대출, 문의","문의,질문"
A6711,전세대출상담,1,청년 전세대금대출이 어떤건가요?,"청년, 전세, 대금, 대출","전세,보증금"
A6724,장기카드대출,1,장기카드 대출후 대출금은 언제 입금 되나요?,"장기,카드,대출금,입급","카드,금액"
A6726,신용대출조건,1,신용대출은 어떻게 받을수 있나요?,"신용,대출","대출,대금"
A6738,보험계약대출,1,보험계약대출 신청 가능한 기준이 있나요?,"보험,계약,대출,신청,기준","계약,표준"
A6760,전세자금대출,1,전세 대출을 알아 보고 싶있어요,"전세,대출","대출,부동산"
A6771,대출신청철회,1,대출신청을 했는데 혹시 바로 대출 취소가 가능 한가요?,"대출,신청,대출,취소,가능","신청,여부"
A6772,통신신용등급 대출,1,ㅇㅇ은행에 무서류간편대출이라는게 있다던데요?,"무서류,간편,대출","간편,융자"
A6776,군인생활안정자금대출,1,군인생활안정자금대출이라는게 어떤건가요?,"군인,생활,안정,자금,대출","생활,융자"
A6777,지정업체임직원및공무원,1,회사임직원이나 공무원이 받을수 있는 대출이 있나요?,"회사,임직원,공무원,대출","임직원,융자"
A6779,신차구매대출,1,새차를 구입 하려는데 대출을 알아보고 있거든요?,"구입,대출","대출,융자"
A6861,전세대출,1,지금 전세대출을 알아보고 있거든요?,전세대출,"전세대출,대출"
A6864,학자금대출,1,학자금 대출 받으려고 알아보고 있는데요,학자금대출.가능,"학자금대출.가능,허용"
A6874,인터넷 대출,1,"인터넷으로 대출신청했어요,",인터넷 대출 결과,"인터넷대출결과,대부"
A6875,대출금 상환,1,인터넷으로 대출원금 상환이 가능한지 알고 싶은데요,인터넷 대출원금 상환 가능,"인터넷대출원금상환가능,실현"
A6879,소상공인대출,1,제가 옷가게를  하고 있는데 대출을 할 수 있을까요?,"옷가게, 대출","대출,융자"
A6882,약관대출,1,약관대출 하려고 알아 보고 있어요,"보험, 약관대출, 신청","약관대출,청구"
A6883,대출 문의,1,"햇살론이라는게 있던데요, 어떤 대출인가요?","햇살론, 대출, 궁금","대출,질문"
A6885,대출 금리,1,대출금리 낮추는 방법이 있나요?,"대출금리, 방법","방법,방식"
A6886,약관대출,1,약관대출 신청 하려고 알아 보고 있습니다,"약관대출, 신청","신청,청구"
A6890,보험계약대출,1,보험계약대출 때문에 상담 좀 받고 싶은데요,보험계약대출.지금.상담.가능,"보험계약대출.지금.상담.가능,문의"
A6891,청년전세대출,1,중소기업 청년 전세대출이라는게 있더라구요.,중소기업.청년.전세대출,"중소기업.청년.전세대출,대부"
A6896,담보 대출,1,대출을 받아서 주택을 지으려고 하는데요?,"주택, 대출","대출,대부"
A6902,전세자금대출,1,전세자금대출을 받았는데요?,전세자금대출,"전세자금대출,대출상품"
A6903,대출 자동 연장,1,대출만기가 다되가는데요,"대출,만기","만기,기간"
A6905,무직자대출,1,무직자대출을 받고 싶은데 지금 가능할지 모르겠네요,"무직자,대출,가능","대출,융자"
A6906,신혼부부 대출,1,신혼부부 매매대출을 알아보고 있어요,"신혼부부,대출","대출,융자"
A6907,급전 대출,1,급전 대출을 알아 보고 있습니다,대출,"대출,융자"
A6908,대환 대출 가능여부,1,대환대출 가능여부 확인을 하고 싶은데요,"대환,대출,가능,확인","대출,여부"
A6909,전세 대출,1,전세 대출에 대해 알아보고 있어요,대출,"대출,융자"
A6913,주부 신용 대출,1,신용카드한도대출 문의 드립니다.,"신용카드,한도,대출","한도,융자"
A6914,무직신용대출,1,신용카드대출 알아보는중인데..,"신용카드,대출","대출,융자"
A6916,현금서비스,1,단기카드대출(현금서비스) 를 받으면 할부 금액처럼 나눠서 낼수없나요?,"카드,대출,할부","대출,분납"
A6918,약관대출,1,2개월 전에 약관대출 알아봤었는데요..,"약관,대출","대출,계약"
A6921,자동차 담보 대출,1,자동차 담보 대출을 알아보고 있어요,"자동차,담보,대출","담보,보증"
A6937,아파트담보대출,1,아파트 담보대출 신청이 가능할까요?,아파트 담보대출 신청 가능,"아파트담보대출신청가능,접수"
A6938,전세자금대출,1,전세자금 대출 받고 싶은데 요즘 금리가 몇프로에요?,"전세자금대출, 금리","금리,이자율"
A6939,부동산담보대출,1,대출 받고 싶은데 가능한가요?,대출,대출
A6940,신용대출조건,1,신용대출은 어떻게 받을 수 있나요?,어떻게,"어떻게,방법"
A6961,신용대출,1,신용대출 상담 가능한가요?,신용.대출.상담,"신용.대출.상담,문의"
A6970,학자금대출,1,학자금 대출 받고싶은데 가능한가요?,학자금대출.가능,"학자금대출.가능,허용"
A6971,예금담보대출,1,예탁금 담보대출 신청 가능한가요?,담보대출.신청.가능,"담보대출.신청.가능,허옹"
A6973,전세자금대출,1,전세자금대출 받으려고 하는데 신청할수 있을까요?,전세자금대출.신청,"전세자금대출.신청,가입"
A6988,대출,1,안녕하세요 대출건으로 문의드리고 싶은데요?,대출.문의,"대출.문의,질문"
A6994,중소기업청년전세대출,1,중소기업 청년 전세대출이라는게 있던데 무엇인가요?,중소기업.청년.전세대출,"중소기업.청년.전세대출,대부"
A7027,학자금대출,1,학자금 대출 받으려고 하는데 되나요?,학자금.대출,"학자금.대출,대부"
A7028,예금담보대출,1,안녕하세요. 담보대출 신청하려하는데 되나요?,담보대출.신청,"담보대출.신청,청구"
